総合危険度ランク,火災危険度ランク,建物倒壊危険度ランク,災害時活動困難度ランク,町丁目名
4,4,3,3,1080
2,2,2,2,1081
1,1,1,1,1082
2,2,2,1,1083
1,1,1,1,1084
2,2,2,2,1085
2,2,2,1,1086
2,1,2,2,1087
2,2,2,2,1088
3,3,2,3,1089
2,2,2,2,1090
2,1,2,2,1091
2,1,2,1,1092
2,1,2,2,1093
1,1,1,2,1094
2,2,2,3,1095
2,2,2,2,1096
3,2,2,3,1097
3,3,3,2,1098
3,3,3,2,1099
2,2,1,2,1100
1,2,1,1,1101
2,2,2,2,1102
1,1,1,2,1103
1,2,1,1,1104
2,2,2,2,1105
1,1,1,1,1106
1,1,1,1,1107
1,1,1,2,1108
1,1,1,1,1109
2,1,1,2,1110
1,1,1,2,1111
2,2,2,2,1112
1,2,2,1,1113
2,2,2,1,1114
2,2,2,1,1115
2,2,2,2,1116
3,2,2,3,1117
3,3,2,2,1118
2,2,2,2,1119
1,1,1,1,1120
2,2,2,3,1121
2,2,2,2,1122
3,2,2,2,1123
1,1,1,1,1124
2,2,3,1,1125
3,3,3,2,1126
3,4,3,2,1127
3,3,3,2,1128
1,1,1,2,1129
1,1,2,1,1130
1,2,1,1,1131
2,1,1,2,1132
1,1,1,2,1133
4,4,3,4,1134
2,2,2,2,1135
2,2,1,2,1136
2,2,2,1,1137
2,2,3,1,1138
3,3,3,1,1139
4,3,4,2,1140
2,2,3,1,1141
1,2,3,1,1142
1,2,3,1,1143
3,2,1,4,1144
2,2,1,3,1145
3,2,3,2,1146
2,3,4,1,1147
2,2,3,1,1148
1,1,2,1,1149
1,1,2,1,1150
4,4,3,2,1151
3,3,3,2,1152
3,2,3,2,1153
4,4,3,2,1154
2,1,3,1,1155
3,3,3,1,1156
3,3,3,2,1157
3,3,3,2,1158
3,3,3,3,1159
3,2,3,2,1160
3,2,3,2,1161
3,4,3,2,1162
3,3,3,2,1163
2,2,3,1,1164
2,2,2,2,1165
4,4,4,2,1166
3,3,3,2,1167
3,4,3,2,1168
2,3,3,1,1169
1,1,1,1,1170
2,3,3,1,1171
2,3,3,1,1172
2,2,3,1,1173
2,2,3,1,1174
1,1,2,1,1175
3,1,2,4,1176
4,3,3,3,1177
3,2,3,2,1178
3,2,3,2,1179
1,2,3,1,1180
1,1,2,1,1181
2,2,2,2,1182
3,3,4,2,1183
1,2,2,1,1184
1,2,2,1,1185
2,3,3,1,1186
1,3,2,1,1187
1,2,2,1,1188
2,2,3,1,1189
2,2,3,1,1190
3,3,2,3,1191
2,3,2,1,1192
2,3,2,2,1193
2,3,2,2,1194
3,4,3,1,1195
2,2,2,1,1196
1,2,2,1,1197
1,2,2,1,1198
1,2,2,1,1199
2,3,2,1,1200
1,2,1,1,1201
1,2,2,1,1202
1,1,1,1,1203
1,1,1,1,1204
1,1,1,1,1205
3,3,2,4,1206
3,2,2,3,1207
4,3,3,3,1208
3,2,2,4,1209
2,3,3,1,1210
2,2,2,1,1211
3,3,3,1,1212
2,2,2,1,1213
1,1,1,1,1214
1,1,1,1,1215
2,2,3,1,1216
2,3,3,1,1217
2,3,4,1,1218
1,1,1,1,1219
1,1,1,1,1220
1,1,1,1,1221
1,1,1,1,1222
1,1,1,1,1223
1,1,1,1,1224
1,1,1,1,1225
1,2,3,1,1226
2,2,3,1,1227
1,2,3,1,1228
2,3,3,1,1229
2,2,3,1,1230
3,3,3,2,1231
3,3,3,1,1232
4,5,4,1,1233
4,4,3,2,1234
3,3,2,3,1235
3,4,3,2,1236
3,4,4,1,1237
2,4,4,1,1238
2,2,2,3,1239
2,2,1,2,1240
1,1,1,1,1241
1,1,1,2,1242
2,1,1,2,1243
2,2,2,2,1244
3,2,3,2,1245
1,1,1,1,1246
1,1,1,2,1247
1,1,1,1,1248
1,1,1,1,1249
1,1,1,1,1250
1,1,1,1,1251
1,1,1,1,1252
1,2,2,1,1253
2,2,2,1,1254
1,2,2,1,1255
2,1,1,2,1256
4,4,3,2,1257
5,5,4,3,1258
4,4,3,3,1259
3,3,3,3,1260
4,4,4,3,1261
4,3,3,4,1262
5,4,4,4,1263
5,4,4,4,1264
5,4,3,4,1265
3,3,3,2,1266
1,1,3,1,1267
1,1,2,1,1268
2,3,3,1,1269
1,2,3,1,1270
2,2,3,1,1271
2,3,3,1,1272
1,1,2,1,1273
1,1,2,1,1274
2,2,2,1,1275
4,5,4,2,1276
5,5,4,3,1277
4,3,3,2,1278
3,2,3,2,1279
3,3,3,2,1280
3,3,3,2,1281
2,1,2,2,1282
2,2,3,1,1283
4,4,4,2,1284
5,5,5,3,1285
3,3,3,1,1286
3,4,3,1,1287
5,5,5,3,1288
